ObjectID,GlobalID,Transect Meter Mark,Direction To Group,Distance To Group,Number Seedlings In Group,Number Vegetative In Group,Number Reproductive In Group,siteName,distBetweenTransects,eventDate,recordedBy,transectNumber_,transectOrientation,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
35,9dfe195f-20b2-46d2-a2c7-ebf3aeaf076a,23.78,-,0.57,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3282815,38.6702251666667
36,c33be162-62ce-493f-be68-8292fc293893,24.18,-,0.34,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328281666667,38.6702253333333
37,8e106b95-a81f-45d0-9d9f-dcc40729f7b1,24.65,-,2.22,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328307666667,38.6702483333333
38,2077b8e7-94de-45f3-9b69-533f9500cecf,25.52,-,0.31,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3283025,38.6702516666667
39,2fcbc541-53f1-4d33-a9a3-6e58fee0bf68,25.5,-,2.16,,,2,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328252833333,38.6702865
40,533bc9eb-4b9c-41de-9300-f385ba6ec914,29.95,+,1.2,,2,,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328254333333,38.6702855
41,f4db0356-91b1-44d8-83f9-4353100e5d76,33.24,+,0.41,,1,,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328258666667,38.670316
42,6022ed23-c97c-47b0-979f-42bcee1742e0,33.58,+,0.34,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328259166667,38.6703131666667
43,08f5a13f-69eb-4a45-a89f-1d029b47f29b,33.87,+,0.37,,1,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328262166667,38.6703133333333
44,b782d88d-674e-4fa1-b578-ed18b64f34a0,33.83,+,0.62,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328255,38.6703186666667
45,734bd6ac-3725-4f8e-99e5-376d37a71351,24.12,+,0.62,,,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328259333333,38.6703215
46,32113017-d90b-4c56-b3df-521ad0ee3b7e,34.27,+,0.77,,,3,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328242,38.67032
47,43996378-555d-4e47-85cf-4703cf375ea6,34.1,+,0.87,,1,1,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328242666667,38.6703171666667
48,7d8b41cb-e787-46b1-bf72-c65a69689996,34.26,+,1.09,,1,,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328241166667,38.6703166666667
49,a8ff80e5-e2be-4d43-bb54-01d4d7a4652e,34.48,-,0.03,,1,,3,10,1714586400000,,1,NS,ee1ed4e0-46bf-4c9b-aad0-243863a5eb66,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.328251333333,38.670321
50,9b95d097-2408-49ca-bb0e-8e2a9a6e8ab7,3.47,+,0.86,,1,,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3280735,38.6702765
51,c1be2e2d-6f73-4a80-b502-8f76bd6081a7,6.15,+,0.16,,,1,3,10,1714586400000,,4,EW,f7e2ec6e-3487-4943-903c-d2caacc08a4e,5/2/2024 2:00:59 AM,MichelleDPL,5/2/2024 2:00:59 AM,MichelleDPL,-108.3280755,38.6702758333333
